"Gen_sp","Habitat","Plot","Flower_density","Flower_species","Start_time","Finish_time","Date","Site","Round","Highest_temp","Lowest_temperature"
"Bombus_hypnorum","Corridor",5,"61%_plus","Filipendula_ulmaria","14:05","14:30","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Corridor",5,"61%_plus","Carduus_crispus","14:05","14:30","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Corridor",5,"61%_plus","Lythranceae_salcaria","14:05","14:30","15/07/2014","Gavsta",1,24,14
"Bombus_terrestris","Corridor",5,"61%_plus","Lythranceae_salcaria","14:05","14:30","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Corridor",5,"61%_plus","Lythranceae_salcaria","14:05","14:30","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Corridor",5,"61%_plus","Lythranceae_salcaria","14:05","14:30","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Corridor",5,"61%_plus","Trifolium_pratense","14:30","14:50","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Corridor",5,"61%_plus","Trifolium_pratense","14:30","14:50","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Corridor",5,"61%_plus","Trifolium_pratense","14:30","14:50","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Corridor",5,"61%_plus","Filipendula_ulmaria","14:30","14:50","15/07/2014","Gavsta",1,24,14
"Bombus_terrestris","Corridor",5,"61%_plus","Filipendula_ulmaria","14:30","14:50","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Corridor",5,"61%_plus","Carduus_crispus","14:30","14:50","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Corridor",5,"61%_plus","Carduus_crispus","14:30","14:50","15/07/2014","Gavsta",1,24,14
"Bombus_pascuorum","Semi_natural_grasslands",2,"1-5%","Trifolium_pratense","15:00","15:20","15/07/2014","Gavsta",1,24,14
"Bombus_spp","Forest_grassland_boundary",1,"41-60%","Centaurea_cyanus","10:00","10:23","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest_grassland_boundary",1,"41-60%","Trifolium_pratense","10:00","10:23","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest_grassland_boundary",1,"41-60%","Trifolium_pratense","10:00","10:23","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest_grassland_boundary",1,"41-60%","Trifolium_pratense","10:00","10:23","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest_grassland_boundary",1,"41-60%","Trifolium_pratense","10:00","10:23","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest_grassland_boundary",1,"41-60%","Trifolium_pratense","10:00","10:23","17/07/2014","Forsby",1,26,14
"Bombus_hortorum","Forest_grassland_boundary",1,"41-60%","Trifolium_pratense","10:00","10:23","17/07/2014","Forsby",1,26,14
"Bombus_hortorum","Forest_grassland_boundary",1,"41-60%","Trifolium_pratense","10:00","10:23","17/07/2014","Forsby",1,26,14
"Bombus_terrestris","Forest_grassland_boundary",1,"41-60%","Trifolium_pratense","10:00","10:23","17/07/2014","Forsby",1,26,14
"Bombus_spp","Maintained_roadside",2,"41-60%","Centaurea_cyanus","10:30","10:50","17/07/2014","Forsby",1,26,14
"Bombus_hypnorum","Maintained_roadside",2,"41-60%","Centaurea_cyanus","10:30","10:50","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Maintained_roadside",2,"41-60%","Trifolium_pratense","10:30","10:50","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Maintained_roadside",2,"41-60%","Trifolium_pratense","10:30","10:50","17/07/2014","Forsby",1,26,14
"Bombus_pratorum","Maintained_roadside",2,"41-60%","Cirsium_arvense","10:30","10:50","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Maintained_roadside",2,"41-60%","Cirsium_arvense","10:30","10:50","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Non_flowering_crop_edge",3,"41-60%","Trifolium_pratense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Non_flowering_crop_edge",3,"41-60%","Trifolium_pratense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Non_flowering_crop_edge",3,"41-60%","Trifolium_pratense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_pratorum","Non_flowering_crop_edge",3,"41-60%","Cirsium_arvense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_pratorum","Non_flowering_crop_edge",3,"41-60%","Cirsium_arvense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_spp","Non_flowering_crop_edge",3,"41-60%","Cirsium_arvense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_rupestris","Non_flowering_crop_edge",3,"41-60%","Cirsium_arvense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Non_flowering_crop_edge",3,"41-60%","Cirsium_arvense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Non_flowering_crop_edge",3,"41-60%","Cirsium_arvense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Non_flowering_crop_edge",3,"41-60%","Cirsium_arvense","11:10","11:45","17/07/2014","Forsby",1,26,14
"Bombus_subterraneus","Semi_natural_grasslands",4,"6-10%","Cirsium_arvense","12:05","12:30","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Semi_natural_grasslands",4,"6-10%","Trifolium_pratense","12:05","12:30","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Semi_natural_grasslands",4,"6-10%","Trifolium_pratense","12:05","12:30","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Semi_natural_grasslands",4,"6-10%","Trifolium_pratense","12:05","12:30","17/07/2014","Forsby",1,26,14
"Bombus_hortorum","Semi_natural_grasslands",4,"6-10%","Trifolium_pratense","12:05","12:30","17/07/2014","Forsby",1,26,14
"Bombus_hortorum","Semi_natural_grasslands",4,"6-10%","Trifolium_pratense","12:05","12:30","17/07/2014","Forsby",1,26,14
"Bombus_spp","Semi_natural_grasslands",4,"6-10%","Trifolium_pratense","12:05","12:30","17/07/2014","Forsby",1,26,14
"Bombus_terrestris","Non_flowering_crop_edge",5,"41-60%","Cirsium_arvense","13:00","13:15","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Non_flowering_crop_edge",5,"41-60%","Trifolium_pratense","13:00","13:15","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Non_flowering_crop_edge",5,"41-60%","Trifolium_pratense","13:00","13:15","17/07/2014","Forsby",1,26,14
NA,"Forest",6,"1-5%",NA,"14:00","14:15","17/07/2014","Forsby",1,26,14
"Bombus_spp","Forest",7,"6-10%","Melampyrum_pratense","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_hortorum","Forest",7,"6-10%","Melampyrum_pratense","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_quadricolor","Forest",7,"6-10%","Melampyrum_pratense","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest",7,"6-10%","Melampyrum_pratense","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest",7,"6-10%","Trifolium_pratense","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest",7,"6-10%","Trifolium_pratense","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest",7,"6-10%","Trifolium_repens","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest",7,"6-10%","Trifolium_repens","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest",7,"6-10%","Trifolium_repens","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest",7,"6-10%","Trifolium_repens","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_pascuorum","Forest",7,"6-10%","Trifolium_repens","14:50","15:10","17/07/2014","Forsby",1,26,14
"Bombus_subterraneus","Maintained_drain",8,"61%_plus","Lamiastrum_galeobdolon_spps_galeobdolons","14:35","14:55","18/07/2014","Forsby",1,25,13
"Bombus_terrestris","Maintained_drain",8,"61%_plus","Lamiastrum_galeobdolon_spps_galeobdolons","14:35","14:55","18/07/2014","Forsby",1,25,13
"Bombus_pascuorum","Semi_natural_grasslands",1,"61%_plus","Melampyrum_pratense","09:50","10:15","18/07/2014","Kacttgrind",1,25,13
"Bombus_pascuorum","Semi_natural_grasslands",1,"61%_plus","Melampyrum_pratense","09:50","10:15","18/07/2014","Kacttgrind",1,25,13
"Bombus_pascuorum","Semi_natural_grasslands",1,"61%_plus","Melampyrum_pratense","09:50","10:15","18/07/2014","Kacttgrind",1,25,13
"Bombus_ruderarius","Semi_natural_grasslands",1,"61%_plus","Melampyrum_pratense","09:50","10:15","18/07/2014","Kacttgrind",1,25,13
"Bombus_ruderarius","Semi_natural_grasslands",1,"61%_plus","Melampyrum_pratense","09:50","10:15","18/07/2014","Kacttgrind",1,25,13
"Bombus_pascuorum","Semi_natural_grasslands",1,"61%_plus","Trifolium_pratense","09:50","10:15","18/07/2014","Kacttgrind",1,25,13
